station_cd,station_g_cd,station_name,line_cd
1130101,1130101,東京,11301
1130102,1130102,新橋,11301
1130103,1130103,品川,11301
1130201,1130201,大崎,11302
1130202,1130202,五反田,11302
1130203,1130203,目黒,11302
1130204,1130204,恵比寿,11302
1130205,1130205,渋谷,11302
1130206,1130206,原宿,11302
1130207,1130207,代々木,11302
1130208,1130208,新宿,11302
1130209,1130209,新大久保,11302
1130210,1130210,高田馬場,11302
1130211,1130211,目白,11302
1130212,1130212,池袋,11302
1130213,1130213,大塚,11302
1130214,1130214,巣鴨,11302
1130215,1130215,駒込,11302
1130216,1130216,田端,11302
1130217,1130217,西日暮里,11302
1130218,1130218,日暮里,11302
1130219,1130219,鶯谷,11302
1130220,1130220,上野,11302
1130221,1130221,御徒町,11302
1130222,1130222,秋葉原,11302
1130223,1130223,神田,11302
1130224,1130101,東京,11302
1130225,1130225,有楽町,11302
1130226,1130102,新橋,11302
1130227,1130227,浜松町,11302
1130228,1130228,田町,11302
1130229,1130103,品川,11302
1130230,1130230,高輪ゲートウェイ,11302
1130317,1130317,矢野口,11303
1130318,1130318,稲城長沼,11303
1130319,1130319,南多摩,11303
1130320,1130320,府中本町,11303
1130321,1130321,分倍河原,11303
1130322,1130322,谷保,11303
1130323,1130323,矢川,11303
1130324,1130324,西国立,11303
1130325,1130325,立川,11303
1130329,1130329,西府,11303
1130501,1130320,府中本町,11305
1130502,1130502,北府中,11305
1130503,1130503,西国分寺,11305
1130504,1130504,新小平,11305
1130505,1130505,新秋津,11305
1130610,1130610,成瀬,11306
1130611,1130611,町田,11306
1130617,1130617,相原,11306
1130618,1130618,八王子みなみ野,11306
1130619,1130619,片倉,11306
1130620,1130620,八王子,11306
1130801,1130101,東京,11308
1130802,1130102,新橋,11308
1130803,1130103,品川,11308
1130804,1130804,西大井,11308
1131101,1130101,東京,11311
1131102,1131102,四ツ谷,11311
1131103,1130208,新宿,11311
1131104,1131104,吉祥寺,11311
1131105,1131105,三鷹,11311
1131106,1131106,国分寺,11311
1131107,1130325,立川,11311
1131108,1131108,日野,11311
1131109,1131109,豊田,11311
1131110,1130620,八王子,11311
1131111,1131111,西八王子,11311
1131112,1131112,高尾,11311
1131201,1130101,東京,11312
1131202,1130223,神田,11312
1131203,1131203,御茶ノ水,11312
1131207,1131102,四ツ谷,11312
1131211,1130208,新宿,11312
1131214,1131214,中野,11312
1131215,1131215,高円寺,11312
1131216,1131216,阿佐ケ谷,11312
1131217,1131217,荻窪,11312
1131218,1131218,西荻窪,11312
1131219,1131104,吉祥寺,11312
1131220,1131105,三鷹,11312
1131221,1131221,武蔵境,11312
1131222,1131222,東小金井,11312
1131223,1131223,武蔵小金井,11312
1131224,1131106,国分寺,11312
1131225,1130503,西国分寺,11312
1131226,1131226,国立,11312
1131227,1130325,立川,11312
1131228,1131108,日野,11312
1131229,1131109,豊田,11312
1131230,1130620,八王子,11312
1131231,1131111,西八王子,11312
1131232,1131112,高尾,11312
1131301,1131105,三鷹,11313
1131302,1131104,吉祥寺,11313
1131303,1131218,西荻窪,11313
1131304,1131217,荻窪,11313
1131305,1131216,阿佐ケ谷,11313
1131306,1131215,高円寺,11313
1131307,1131214,中野,11313
1131308,1131308,東中野,11313
1131309,1131309,大久保,11313
1131310,1130208,新宿,11313
1131311,1130207,代々木,11313
1131312,1131312,千駄ケ谷,11313
1131313,1131313,信濃町,11313
1131314,1131102,四ツ谷,11313
1131315,1131315,市ケ谷,11313
1131316,1131316,飯田橋,11313
1131317,1131317,水道橋,11313
1131318,1131203,御茶ノ水,11313
1131319,1130222,秋葉原,11313
1131320,1131320,浅草橋,11313
1131321,1131321,両国,11313
1131322,1131322,錦糸町,11313
1131323,1131323,亀戸,11313
1131324,1131324,平井,11313
1131325,1131325,新小岩,11313
1131326,1131326,小岩,11313
1131401,1130101,東京,11314
1131402,1131402,新日本橋,11314
1131403,1131403,馬喰町,11314
1131404,1131322,錦糸町,11314
1131405,1131325,新小岩,11314
1131501,1130325,立川,11315
1131502,1131502,西立川,11315
1131503,1131503,東中神,11315
1131504,1131504,中神,11315
1131505,1131505,昭島,11315
1131506,1131506,拝島,11315
1131507,1131507,牛浜,11315
1131508,1131508,福生,11315
1131509,1131509,羽村,11315
1131510,1131510,小作,11315
1131511,1131511,河辺,11315
1131512,1131512,東青梅,11315
1131513,1131513,青梅,11315
1131514,1131514,宮ノ平,11315
1131515,1131515,日向和田,11315
1131516,1131516,石神前,11315
1131517,1131517,二俣尾,11315
1131518,1131518,軍畑,11315
1131519,1131519,沢井,11315
1131520,1131520,御嶽,11315
1131521,1131521,川井,11315
1131522,1131522,古里,11315
1131523,1131523,鳩ノ巣,11315
1131524,1131524,白丸,11315
1131525,1131525,奥多摩,11315
1131601,1131506,拝島,11316
1131602,1131602,熊川,11316
1131603,1131603,東秋留,11316
1131604,1131604,秋川,11316
1131605,1131605,武蔵引田,11316
1131606,1131606,武蔵増戸,11316
1131607,1131607,武蔵五日市,11316
1131701,1130620,八王子,11317
1131702,1131702,北八王子,11317
1131703,1131703,小宮,11317
1131704,1131506,拝島,11317
1131705,1131705,東福生,11317
1131706,1131706,箱根ケ崎,11317
1131901,1130220,上野,11319
1131902,1131902,尾久,11319
1131903,1131903,赤羽,11319
1132001,1130220,上野,11320
1132002,1130218,日暮里,11320
1132003,1132003,三河島,11320
1132004,1132004,南千住,11320
1132005,1132005,北千住,11320
1132006,1132006,綾瀬,11320
1132007,1132007,亀有,11320
1132008,1132008,金町,11320
1132101,1130201,大崎,11321
1132102,1130204,恵比寿,11321
1132103,1130205,渋谷,11321
1132104,1130208,新宿,11321
1132105,1130212,池袋,11321
1132106,1132106,板橋,11321
1132107,1132107,十条,11321
1132108,1131903,赤羽,11321
1132109,1132109,北赤羽,11321
1132110,1132110,浮間舟渡,11321
1132301,1130220,上野,11323
1132302,1131902,尾久,11323
1132303,1131903,赤羽,11323
1132601,1130101,東京,11326
1132602,1132602,八丁堀,11326
1132603,1132603,越中島,11326
1132604,1132604,潮見,11326
1132605,1132605,新木場,11326
1132606,1132606,葛西臨海公園,11326
1132806,1130208,新宿,11328
1132807,1130205,渋谷,11328
1132808,1130103,品川,11328
1132809,1130101,東京,11328
1132816,1130620,八王子,11328
1132817,1130325,立川,11328
1132818,1131106,国分寺,11328
1132819,1131105,三鷹,11328
1132820,1131104,吉祥寺,11328
1133210,1131903,赤羽,11332
1133211,1133211,東十条,11332
1133212,1133212,王子,11332
1133213,1133213,上中里,11332
1133214,1130216,田端,11332
1133215,1130217,西日暮里,11332
1133216,1130218,日暮里,11332
1133217,1130219,鶯谷,11332
1133218,1130220,上野,11332
1133219,1130221,御徒町,11332
1133220,1130222,秋葉原,11332
1133221,1130223,神田,11332
1133222,1130101,東京,11332
1133223,1130225,有楽町,11332
1133224,1130102,新橋,11332
1133225,1130227,浜松町,11332
1133226,1130228,田町,11332
1133227,1130103,品川,11332
